status
Statement executed successfully.

status
Statement executed successfully.

ATTACHMENT_SOURCE,TRANSACTION_ID,PAYOFF_LOAN_ID,PAYOFFUID,LOANID,LOAN_TRANSACTION_DATE,APPLY_DATE,REVERSAL_DATE,LAST_UPDATED_DATE,LOAN_TRANSACTION_TYPE,DESCRIPTION,LOAN_TRANSACTION_AMOUNT,PAYMENT_FLAG,LOAN_PRINCIPAL,LOAN_INTEREST,STARTING_BALANCE,ENDING_BALANCE,POSTCHARGEOFFEVENT,CHARGEOFFEVENTIND,LOAN_REVERSED,LOAN_REJECTED,LOAN_CLEARED,ORIGINATION_DATE,LOAN_AMOUNT,TERM,INTEREST_RATE,LOAN_CLOSED_DATE,CHARGE_OFF_DATE
Attachment_B,8636957,356539,03849dc8-848f-4b62-bec6-10a2271fe010,356539,2025-06-15,2025-06-16,,2025-06-15T21:00:33,Payment,Regular: Transaction ID 8636957,781.00,True,269.92,511.08,29000.00,28730.08,False,False,0,0,1,2025-05-16,29000.0000,60.00000,20.7500,2025-07-17,
Attachment_B,8609546,234786,083dd11a-901f-466c-a334-86cc1d0a073e,234786,2025-06-01,2025-06-02,,2025-06-01T21:00:45,Payment,Regular: Transaction ID 8609546,246.47,True,175.76,70.71,5000.00,4824.24,False,False,0,0,1,2025-05-02,5000.0000,24.00000,16.6500,,
Attachment_B,8602292,234789,1687bf8f-f243-4901-b947-ccf48e8890eb,234789,2025-05-29,2025-05-29,,2025-05-29T17:05:17,Payment,Regular: Transaction ID 8602292,617.71,True,273.00,344.71,23300.00,23027.00,False,False,0,0,1,2025-05-02,23300.0000,60.00000,20.0000,,
Attachment_B,8662206,234789,1687bf8f-f243-4901-b947-ccf48e8890eb,234789,2025-06-30,2025-06-30,,2025-06-30T19:20:16,Payment,Regular: Transaction ID 8662206,617.71,True,213.95,403.76,23027.00,22813.05,False,False,0,0,1,2025-05-02,23300.0000,60.00000,20.0000,,
Attachment_B,8654217,310640,19bc03ac-cc9a-44d1-84a2-e37d18ef869a,310640,2025-06-25,2025-06-25,,2025-06-25T19:55:16,Payment,Regular: Transaction ID 8654217,700.25,True,0.00,700.25,25000.00,25000.00,False,False,0,0,1,2025-05-08,25000.0000,60.00000,22.6500,,
Attachment_B,8597483,356282,1f18cb6b-0729-4054-998a-c823190b8952,356282,2025-05-23,2025-05-23,,2025-05-23T22:30:16,Payment,Regular: Transaction ID 8597483,175.00,True,38.56,136.44,24000.00,23961.44,False,False,0,0,1,2025-05-13,24000.0000,60.00000,20.7500,,
Attachment_B,8617007,356282,1f18cb6b-0729-4054-998a-c823190b8952,356282,2025-06-05,2025-06-05,,2025-06-05T22:35:16,Payment,Regular: Transaction ID 8617007,471.34,True,294.26,177.08,23961.44,23667.18,False,False,0,0,1,2025-05-13,24000.0000,60.00000,20.7500,,
Attachment_B,8636693,356282,1f18cb6b-0729-4054-998a-c823190b8952,356282,2025-06-14,2025-06-14,,2025-06-15T00:20:16,Payment,Regular: Transaction ID 8636693,175.00,True,53.91,121.09,23667.18,23613.27,False,False,0,0,1,2025-05-13,24000.0000,60.00000,20.7500,,
Attachment_B,8650326,356282,1f18cb6b-0729-4054-998a-c823190b8952,356282,2025-06-21,2025-06-21,,2025-06-22T00:30:16,Payment,Regular: Transaction ID 8650326,175.00,True,81.03,93.97,23613.27,23532.24,False,False,0,0,1,2025-05-13,24000.0000,60.00000,20.7500,,
Attachment_B,8592182,188906,2402c636-6efb-4980-89ec-7c77518a765f,188906,2025-05-23,2025-05-23,,2025-05-23T13:05:17,Payment,Regular: Transaction ID 8592182,718.88,True,385.38,333.50,25000.00,24614.62,False,False,0,0,1,2025-04-24,25000.0000,48.00000,16.7900,,
