status
Statement executed successfully.

status
Statement executed successfully.

LP_LOAN_ID,LOANID,PAYOFFUID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,CHARGEOFFDATE,PRINCIPALBALANCEATCHARGEOFF,RECOVERIESPAIDTODATE,CURRENT_LP_STATUS,SETTLEMENTSTATUS,SETTLEMENT_ACCEPTED_DATE,SETTLEMENT_COMPLETION_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_AMOUNT_PAID,SETTLEMENT_DATA_SOURCE_LIST,POST_CHARGEOFF_PAYMENT_COUNT,TOTAL_POST_CHARGEOFF_PAYMENTS,LAST_POST_CHARGEOFF_PAYMENT_DATE,AUTOPAY_PENDING,AUTOPAY_TYPE,NEXT_AUTOPAY_DATE,AUTOPAY_AMOUNT,AUTOPAY_COUNT,FUTURE_PAYMENT_COUNT,FUTURE_PAYMENT_DATE,TOTAL_FUTURE_PAYMENT_AMOUNT,FUTURE_PAYMENT_TYPES,HAS_SETTLEMENT_DATA,HAS_ACTIVE_AUTOPAY,HAS_FUTURE_PAYMENTS,TOTAL_CONFLICT_COUNT
68582,PDC05AB7D7AE1,4d2c6df2-a38b-366e-7c8a-dc05ab7d7ae1,Placed - Bounce,2025-08-11,2025-06-16,15032.3800,1315.3200,Closed - Charged-Off Collectible,,,,,,"DOCUMENTS, ACTIONS",3,1315.32,2025-09-15,Y,autopay.type.recurring,2025-11-16,438.44,1,0,,0.00,,1,1,0,2
68582,PDC05AB7D7AE1,4d2c6df2-a38b-366e-7c8a-dc05ab7d7ae1,Placed - Bounce,2025-08-11,2025-06-16,15032.3800,1315.3200,Closed - Charged-Off Collectible,,,,,,"DOCUMENTS, ACTIONS",3,1315.32,2025-09-15,Y,autopay.type.single,2027-06-16,438.55,1,0,,0.00,,1,1,0,2
57074,PF600F466C490,b5a6f446-891e-b930-bbb8-f600f466c490,Placed - Bounce,2025-08-11,2025-06-05,7537.9600,200.0000,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,2,200.00,2025-09-22,Y,autopay.type.recurring,2025-11-05,574.54,1,0,,0.00,,1,1,0,2
35821,PF18449980C46,caeccb8c-656a-5200-f7e6-f18449980c46,Placed - Bounce,2025-08-08,2025-06-02,1060.8500,123.7800,Closed - Charged-Off Collectible,,,,742.60,,"CUSTOM_FIELDS, ACTIONS",2,123.78,2025-09-18,Y,autopay.type.single,2026-07-19,61.81,1,0,,0.00,,1,1,0,2
35821,PF18449980C46,caeccb8c-656a-5200-f7e6-f18449980c46,Placed - Bounce,2025-08-08,2025-06-02,1060.8500,123.7800,Closed - Charged-Off Collectible,,,,742.60,,"CUSTOM_FIELDS, ACTIONS",2,123.78,2025-09-18,Y,autopay.type.recurring,2025-10-19,61.89,1,0,,0.00,,1,1,0,2
23317,PCB96CC46DE12,64202a10-4c0e-743a-80b1-cb96cc46de12,Placed - Bounce,2025-08-08,2025-04-18,3086.0100,485.0000,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,4,485.00,2025-10-08,Y,autopay.type.recurring,2025-10-19,240.42,1,0,,0.00,,1,1,0,2
73646,P1DDCE65721D6,ed9cfe86-748c-b96b-0ada-1ddce65721d6,Placed - Bounce,2025-06-18,2025-03-08,12821.2300,746.4600,Closed - Charged-Off Collectible,Active,2025-06-10,,8974.86,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,746.46,2025-08-29,Y,autopay.type.single,2025-10-30,373.78,20,0,,0.00,,1,1,0,2
72769,P2C04BC66634D,30d390ab-0608-e8a0-2da0-2c04bc66634d,Placed - Bounce,2025-06-18,2025-03-07,18961.5100,3300.0000,Closed - Charged-Off Collectible,Active,2025-04-14,,13273.06,,"CUSTOM_FIELDS, DOCUMENTS",6,3300.00,2025-09-26,Y,autopay.type.recurring,2025-11-07,854.44,1,0,,0.00,,1,1,0,2
71838,PBD49326615D4,4829140a-ef36-6d56-4941-bd49326615d4,Placed - Bounce,2025-06-18,2025-02-20,14478.5100,1266.8700,Closed - Charged-Off Collectible,,,,,,DOCUMENTS,3,1266.87,2025-06-02,Y,autopay.type.recurring,2025-10-23,1262.89,1,0,,0.00,,1,1,0,2
73984,PE290471DB1FD,e2cb6806-5b7d-48d1-799e-e290471db1fd,Placed - Bounce,2025-06-18,2025-02-09,34123.6100,8792.7200,Closed - Charged-Off Collectible,,,,,,CUSTOM_FIELDS,7,7693.63,2025-09-11,Y,autopay.type.recurring,2025-11-12,1099.09,1,0,,0.00,,1,1,0,2
72266,P36E3B8979517,a027ec87-df37-01fa-acc3-36e3b8979517,Placed - Bounce,2025-06-18,2025-01-26,3180.5200,278.2800,Closed - Charged-Off Collectible,Active,2025-06-23,,2226.36,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",3,278.28,2025-09-26,Y,autopay.type.single,2025-10-26,92.88,20,0,,0.00,,1,1,0,2
96736,PF1E1703467B3,f145e098-4b24-31d2-7b5a-f1e1703467b3,Placed - Bounce,2025-06-18,2024-12-13,5840.6700,1370.4600,Closed - Charged-Off Collectible,,,,,,ACTIONS,5,1200.10,2025-07-15,Y,autopay.type.single,2025-11-15,170.36,15,0,,0.00,,1,1,0,2
90437,PB7646D4139C0,417a4ae0-61a4-4ac4-a6f1-b7646d4139c0,Placed - Bounce,2025-06-18,2024-12-02,18971.8000,6000.0000,Closed - Charged-Off Collectible,Active,2025-06-05,,9485.91,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",2,6000.00,2025-08-28,Y,autopay.type.single,2025-11-15,3485.91,1,0,,0.00,,1,1,0,2
86125,P3656E7153AE2,d0dae91a-ca2d-4969-1dfe-3656e7153ae2,Placed - Bounce,2025-06-18,2024-08-15,18791.2900,2740.4000,Closed - Charged-Off Collectible,Active,2025-06-05,,13153.90,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, CHECKLIST_ITEMS",9,2466.36,2025-09-25,Y,autopay.type.recurring,2025-10-24,274.04,1,0,,0.00,,1,1,0,2
116552,P515536C86251,b0613a87-3a92-441c-f2cf-515536c86251,Placed - Bounce,2024-11-25,2024-01-22,24342.9400,3954.0000,Closed - Charged-Off Collectible,Inactive,,,,,CUSTOM_FIELDS,6,3954.00,2024-11-04,Y,autopay.type.recurring,2025-10-24,1228.69,1,0,,0.00,,1,1,0,2
112170,PD01CF9B7ACE1,d571feea-7faf-bd78-e749-d01cf9b7ace1,Placed - Bounce,2024-11-25,2023-10-26,15497.9100,1808.0800,Closed - Charged-Off Collectible,Inactive,,,,,CUSTOM_FIELDS,4,1808.08,2024-04-20,Y,autopay.type.recurring,2025-10-28,901.05,1,0,,0.00,,1,1,0,2
97922,PB4C8A4B9955A,b46acf48-5cdd-5068-f385-b4c8a4b9955a,Placed - Resurgent,2025-02-28,2024-11-30,12397.0600,3955.4900,Closed - Charged-Off Collectible,Active,2025-01-02,,8677.94,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",10,3955.49,2025-09-20,Y,autopay.type.single,2025-10-20,361.60,15,0,,0.00,,1,1,0,2
100234,P2E65809727EA,bb059895-f05e-f178-ff25-2e65809727ea,Placed - Resurgent,2025-02-28,2023-12-10,15706.9400,1500.0000,Closed - Charged-Off Collectible,,,,,,ACTIONS,9,1350.00,2025-09-12,Y,autopay.type.recurring,2025-11-14,150.00,1,0,,0.00,,1,1,0,2
98577,PFF74DFA392D2,c2c0c026-e992-f0fe-9c7f-ff74dfa392d2,Placed - Resurgent,2025-02-28,2023-11-05,10763.6000,1252.0000,Closed - Charged-Off Collectible,Inactive,,,,,CUSTOM_FIELDS,4,1252.00,2024-08-15,Y,autopay.type.recurring,2025-11-08,518.66,1,0,,0.00,,1,1,0,2
96418,P662DEC8C4432,c6d41ba0-656a-d4d4-bc9c-662dec8c4432,Placed - Resurgent,2025-02-28,2022-11-22,13546.9900,2700.0000,Closed - Charged-Off Collectible,Active,2025-01-07,,7200.00,,"CUSTOM_FIELDS, PORTFOLIOS, DOCUMENTS, ACTIONS, CHECKLIST_ITEMS",9,2700.00,2025-09-29,Y,autopay.type.recurring,2025-10-31,300.00,1,0,,0.00,,1,1,0,2
69906,PF84BEB1E27FE,02bfd3ad-2377-0acf-3be6-f84beb1e27fe,Placed - Bounce,2025-08-08,2025-06-29,21458.2500,873.0000,,,,,,,,3,873.00,2025-09-30,Y,autopay.type.recurring,2025-11-01,291.00,1,0,,0.00,,0,1,0,1
43484,P8B6D5A30E81F,76a5b112-24b3-493a-167a-8b6d5a30e81f,Placed - Bounce,2025-08-08,2025-06-29,3115.7600,502.3000,,,,,,,,1,502.30,2025-09-30,Y,autopay.type.recurring,2025-11-01,502.30,1,0,,0.00,,0,1,0,1
